,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1037,2011,9,Botkyrka kommun,Stockholms län,Radio Botkyrka,huvudredaktion,redaktion,Etermedier,
1038,2015-03,2017-08-19,Botkyrka kommun,Stockholms län,Södra Sidan Tumba/Tullinge,huvudredaktion,riktad titel,Gratistidning,Direktpress
1039,2017-08-20,2020-06-17,Botkyrka kommun,Stockholms län,Botkyrka Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1040,2014-06-25,2020-06-17,Haninge kommun,Stockholms län,Mitt i Haninge,huvudredaktion,riktad titel,Gratistidning,Mitt i
1041,2020-06-18,9,Haninge kommun,Stockholms län,Mitt i Haninge,huvudredaktion,riktad titel,Gratistidning,Direktpress
1042,2008-12-01,2014-06-24,Haninge kommun,Stockholms län,Mitt i Haninge,huvudredaktion,riktad titel,Gratistidning,Stampen
1043,2014-06-25,2020-06-17,Huddinge kommun,Stockholms län,Mitt i Huddinge,huvudredaktion,riktad titel,Gratistidning,Mitt i
1044,2020-06-18,9,Huddinge kommun,Stockholms län,Mitt i Huddinge,huvudredaktion,riktad titel,Gratistidning,Direktpress
1045,2008-12-01,2014-06-24,Huddinge kommun,Stockholms län,Mitt i Huddinge,huvudredaktion,riktad titel,Gratistidning,Stampen
1046,2019-09-01,9,Huddinge kommun,Stockholms län,Sveriges Radio P4 Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1047,2015-03,2017-08-19,Huddinge kommun,Stockholms län,Södra Sidan Huddinge,huvudredaktion,riktad titel,Gratistidning,Direktpress
1048,2017-08-20,2020-06-17,Huddinge kommun,Stockholms län,Huddinge Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1049,2014-06-25,2020-06-17,Nacka kommun,Stockholms län,Mitt i Nacka,huvudredaktion,riktad titel,Gratistidning,Mitt i
1050,2020-06-18,9,Nacka kommun,Stockholms län,Mitt i Nacka,huvudredaktion,riktad titel,Gratistidning,Direktpress
1051,2008-12-01,2014-06-24,Nacka kommun,Stockholms län,Mitt i Nacka,huvudredaktion,riktad titel,Gratistidning,Stampen
