,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
0,2012-01-01,2017-11-30,Krokoms kommun,Jämtlands län,100 % Krokom,huvudredaktion,redaktion,Gratistidning,Mittmedia
1,2012-01-01,2017-11-30,Strömsunds kommun,Jämtlands län,100 % Strömsund,huvudredaktion,redaktion,Gratistidning,Mittmedia
2,0,9,Strömsunds kommun,Jämtlands län,Affärsnytt Norr,huvudredaktion,redaktion,Gratistidning,
3,2019-06-05,9,Strömsunds kommun,Jämtlands län,Jämtlands Tidning,lokalredaktion,redaktion,Dagspress,
4,0,9,Strömsunds kommun,Jämtlands län,Strömsunds gratistidning,huvudredaktion,redaktion,Gratistidning,Pobeda
5,2012-01-01,2017-11-30,Östersunds kommun,Jämtlands län,100 % Östersund,huvudredaktion,redaktion,Gratistidning,Mittmedia
6,2014-05-01,9,Östersunds kommun,Jämtlands län,Jämtlands gratistidning,huvudredaktion,redaktion,Gratistidning,Pobeda
7,2015-05-01,9,Östersunds kommun,Jämtlands län,Jämtlands Tidning,huvudredaktion,redaktion,Dagspress,
8,1924-07-18,2019-03-31,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Mittmedia
9,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
10,2020-04-02,9,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Bonnier
11,0,9,Östersunds kommun,Jämtlands län,Sveriges Radio P4 Jämtland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
12,2015-04-13,2015-04-12,Östersunds kommun,Jämtlands län,SVT Nyheter Västernorrland,lokalredaktion,redaktion,Etermedier,Sveriges Television
13,0,2015-04-12,Östersunds kommun,Jämtlands län,Mittnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
14,2015-04-13,9,Östersunds kommun,Jämtlands län,SVT Nyheter Jämtland,huvudredaktion,redaktion,Etermedier,Sveriges Television
15,2018-03-21,2019-03-31,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Mittmedia
16,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Bonnier|Mittmedia
17,2020-04-02,9,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Bonnier
18,1877,2019-03-31,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Mittmedia
19,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
20,2020-04-02,9,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Bonnier
21,2016-02-01,2018-10-31,Karlskrona kommun,Blekinge län,24 Blekinge,huvudredaktion,redaktion,Sajt,24 Journalistik
22,2018-11-01,2019-07-03,Karlskrona kommun,Blekinge län,24 Blekinge,huvudredaktion,riktad titel,Sajt,24 Journalistik
23,1869,9,Karlskrona kommun,Blekinge län,Blekinge Läns Tidning med Sölvesborgs-Tidningen och Karlshamns Allehanda,huvudredaktion,redaktion,Dagspress,Gota Media
24,0,2018-12-07,Karlskrona kommun,Blekinge län,Karlskronakanalen.se,huvudredaktion,redaktion,Sajt,
25,1993-01-01,2017-02-01,Karlskrona kommun,Blekinge län,Commersen,huvudredaktion,redaktion,Gratistidning,
26,0,9,Karlskrona kommun,Blekinge län,Sveriges Radio P4 Blekinge,huvudredaktion,redaktion,Etermedier,Sveriges Radio
27,2015-04-12,9,Karlskrona kommun,Blekinge län,SVT Nyheter Blekinge,huvudredaktion,redaktion,Etermedier,Sveriges Television
28,2015-04-13,2015-04-11,Karlskrona kommun,Blekinge län,SVT Nyheter Skåne,lokalredaktion,redaktion,Etermedier,Sveriges Television
29,0,2015-04-11,Karlskrona kommun,Blekinge län,Sydnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
30,2011-01-01,9,Karlskrona kommun,Blekinge län,Sydöstran,huvudredaktion,redaktion,Dagspress,Gota Media
31,1903,2010-12-31,Karlskrona kommun,Blekinge län,Sydöstran,huvudredaktion,redaktion,Dagspress,Östra Småland
32,2009-06-01,2016-11-08,Karlskrona kommun,Blekinge län,Vårt Karlskrona,huvudredaktion,redaktion,Gratistidning,
33,2008-10-14,2017-12-31,Linköpings kommun,Östergötlands län,24 Corren,huvudredaktion,redaktion,Etermedier,NTM
34,0,2018-06-30,Linköpings kommun,Östergötlands län,Extra Östergötland,lokalredaktion,redaktion,Gratistidning,NTM
35,2017-04-20,2019-01-18,Linköpings kommun,Östergötlands län,Linköping News,huvudredaktion,redaktion,Sajt,Jmini
36,2018-01-15,9,Linköpings kommun,Östergötlands län,Linköpings-Posten,huvudredaktion,redaktion,Gratistidning,NTM
37,1994,2018-01-14,Linköpings kommun,Östergötlands län,Linköpings-Posten,huvudredaktion,redaktion,Gratistidning,Swepress
38,2018-03-01,2018-07-01,Linköpings kommun,Östergötlands län,Mera Linköping,huvudredaktion,redaktion,Gratistidning,NTM
39,2013,2018-02-28,Linköpings kommun,Östergötlands län,Mera Linköping,huvudredaktion,redaktion,Gratistidning,Swepress
40,0,9,Linköpings kommun,Östergötlands län,Sveriges Radio P4 Östergötland,lokalredaktion,redaktion,Etermedier,Sveriges Radio
41,2015-04-13,9,Linköpings kommun,Östergötlands län,SVT Nyheter Öst,lokalredaktion,redaktion,Etermedier,Sveriges Television
42,0,2015-04-12,Linköpings kommun,Östergötlands län,Östnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
43,2018-01-15,2018-05-31,Linköpings kommun,Östergötlands län,Vimmerby Tidning med Linköpings Tidning och Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
44,2018-06-01,2018-05-31,Linköpings kommun,Östergötlands län,Vimmerby Tidning med Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
45,0,2018-01-14,Linköpings kommun,Östergötlands län,"Vimmerby Tidning med Västerviks-Posten, Linköpings Tidning och Kinda-Posten",lokalredaktion,redaktion,Dagspress,Swepress
46,2001,9,Linköpings kommun,Östergötlands län,Åkerbobladet,huvudredaktion,redaktion,Gratistidning,
47,1838-09-24,9,Linköpings kommun,Östergötlands län,Östgöta Correspondenten,huvudredaktion,redaktion,Dagspress,NTM
48,2017-04-01,2019-07-03,Emmaboda kommun,Kalmar län,24 Emmaboda,huvudredaktion,redaktion,Sajt,24 Journalistik
49,0,9,Emmaboda kommun,Kalmar län,Barometern-OT,lokalredaktion,redaktion,Dagspress,Gota Media
50,2015-07-01,9,Emmaboda kommun,Kalmar län,Emmaboda Tidning,huvudredaktion,redaktion,Gratistidning,Gota Media
51,1967,2015-06-30,Emmaboda kommun,Kalmar län,Emmaboda Tidning,huvudredaktion,redaktion,Gratistidning,
52,2010-12-23,2012-12-31,Emmaboda kommun,Kalmar län,Östra Småland-Nyheterna,lokalredaktion,redaktion,Dagspress,Gota Media
53,0,2010-12-22,Emmaboda kommun,Kalmar län,Östra Småland-Nyheterna,lokalredaktion,redaktion,Dagspress,Östra Småland
54,2018-06-11,2019-07-03,Falkenbergs kommun,Hallands län,24 Falkenberg,lokalredaktion,redaktion,Sajt,24 Journalistik
55,0,2018-12-20,Falkenbergs kommun,Hallands län,Falkenbergs Posten,huvudredaktion,redaktion,Gratistidning,
56,0,9,Falkenbergs kommun,Hallands län,Hallands Nyheter,lokalredaktion,redaktion,Dagspress,Stampen
57,2017-04-01,2019-07-03,Halmstads kommun,Hallands län,24 Halmstad,huvudredaktion,redaktion,Sajt,24 Journalistik
58,1850-07-30,9,Halmstads kommun,Hallands län,Hallandsposten,huvudredaktion,redaktion,Dagspress,Stampen
59,2011-08-17,2019-12-11,Halmstads kommun,Hallands län,Halmstad 7 Dagar,huvudredaktion,redaktion,Gratistidning,Stampen
60,2008-02-01,2017-01-13,Halmstads kommun,Hallands län,Lokaltidningen Halmstad,huvudredaktion,redaktion,Gratistidning,Lokaltidningen
61,0,9,Halmstads kommun,Hallands län,Sveriges Radio P4 Halland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
62,2015-04-13,9,Halmstads kommun,Hallands län,SVT Nyheter Halland,huvudredaktion,redaktion,Etermedier,Sveriges Television
63,0,2015-04-12,Halmstads kommun,Hallands län,Västnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
64,2015-04-13,2015-04-12,Halmstads kommun,Hallands län,SVT Nyheter Väst,lokalredaktion,redaktion,Etermedier,Sveriges Television
65,2017-08-01,2018-04-01,Helsingborgs kommun,Skåne län,24 Helsingborg,huvudredaktion,redaktion,Sajt,24 Journalistik
66,2018-04-02,2019-07-03,Helsingborgs kommun,Skåne län,24 Helsingborg,huvudredaktion,riktad titel,Sajt,24 Journalistik
67,0,2019-12-21,Helsingborgs kommun,Skåne län,Hallå Helsingborg,huvudredaktion,redaktion,Gratistidning,Bonnier
68,2013-04-03,9,Helsingborgs kommun,Skåne län,HbgNyheter,huvudredaktion,redaktion,Sajt,
69,2014-07-01,9,Helsingborgs kommun,Skåne län,Helsingborgs Dagblad,huvudredaktion,redaktion,Dagspress,Bonnier
70,1867,2014-06-30,Helsingborgs kommun,Skåne län,Helsingborgs Dagblad,huvudredaktion,redaktion,Dagspress,
71,2007-01-23,2019-10-17,Helsingborgs kommun,Skåne län,Lokaltidningen Helsingborg,huvudredaktion,redaktion,Gratistidning,Lokaltidningen
72,2019-10-18,9,Helsingborgs kommun,Skåne län,Lokaltidningen Helsingborg,huvudredaktion,redaktion,Gratistidning,Bonnier
73,0,9,Helsingborgs kommun,Skåne län,Sveriges Radio P4 Malmöhus,lokalredaktion,redaktion,Etermedier,Sveriges Radio
74,2015-04-12,9,Helsingborgs kommun,Skåne län,SVT Nyheter Helsingborg,huvudredaktion,redaktion,Etermedier,Sveriges Television
75,2014-10-06,2019-07-03,Kalmar kommun,Kalmar län,24 Kalmar,huvudredaktion,redaktion,Sajt,24 Journalistik
76,1841,9,Kalmar kommun,Kalmar län,Barometern-OT,huvudredaktion,redaktion,Dagspress,Gota Media
77,2020-10-30,9,Kalmar kommun,Kalmar län,Dagens Kalmar,huvudredaktion,riktad titel,Sajt,Dagens Vimmerby
78,2011-01-01,9,Kalmar kommun,Kalmar län,Kalmar Läns Tidning med Nybro Tidning,huvudredaktion,redaktion,Dagspress,Gota Media
79,1827,2010-12-31,Kalmar kommun,Kalmar län,Kalmar Läns Tidning med Nybro Tidning,huvudredaktion,redaktion,Dagspress,
80,2015-07-01,9,Kalmar kommun,Kalmar län,KalmarPosten,huvudredaktion,redaktion,Gratistidning,Gota Media
81,1988,2015-06-30,Kalmar kommun,Kalmar län,KalmarPosten,huvudredaktion,redaktion,Gratistidning,
82,0,9,Kalmar kommun,Kalmar län,Sveriges Radio P4 Kalmar,huvudredaktion,redaktion,Etermedier,Sveriges Radio
83,2015-04-13,9,Kalmar kommun,Kalmar län,SVT Nyheter Småland,lokalredaktion,redaktion,Etermedier,Sveriges Television
84,0,2015-04-12,Kalmar kommun,Kalmar län,Smålandsnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
85,2010-12-23,2019-11-26,Kalmar kommun,Kalmar län,Östra Småland-Nyheterna,huvudredaktion,redaktion,Dagspress,Gota Media
86,1928,2010-12-22,Kalmar kommun,Kalmar län,Östra Småland-Nyheterna,huvudredaktion,redaktion,Dagspress,Östra Småland
87,2020-11-03,9,Kalmar kommun,Kalmar län,Hela Östra Småland,huvudredaktion,redaktion,Sajt,
88,2017-04-01,2018-10-31,Kristianstads kommun,Skåne län,24 Kristianstad,huvudredaktion,redaktion,Sajt,24 Journalistik
89,2018-11-01,2019-07-03,Kristianstads kommun,Skåne län,24 Kristianstad,huvudredaktion,riktad titel,Sajt,24 Journalistik
90,1994,9,Kristianstads kommun,Skåne län,Kristianstads-Journalen,huvudredaktion,redaktion,Gratistidning,
91,1856-09-20,2011-09-30,Kristianstads kommun,Skåne län,Kristianstadsbladet,huvudredaktion,redaktion,Dagspress,Bonnier
92,2011-10-01,9,Kristianstads kommun,Skåne län,Kristianstadsbladet,huvudredaktion,redaktion,Dagspress,Gota Media
93,2008-02-01,2019-10-17,Kristianstads kommun,Skåne län,"Lokaltidningen Kristianstad, Bromölla och Östra Göinge",huvudredaktion,redaktion,Gratistidning,Lokaltidningen
94,2019-10-18,9,Kristianstads kommun,Skåne län,"Lokaltidningen Kristianstad, Bromölla och Östra Göinge",huvudredaktion,redaktion,Gratistidning,Bonnier
95,0,9,Kristianstads kommun,Skåne län,Sveriges Radio P4 Kristianstad,huvudredaktion,redaktion,Etermedier,Sveriges Radio
96,2019-03-11,9,Kristianstads kommun,Skåne län,SVT Nyheter Skåne,lokalredaktion,redaktion,Etermedier,Sveriges Television
97,2019-03-11,2015-04-12,Kristianstads kommun,Skåne län,Sydnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
98,2010-06-24,9,Kristianstads kommun,Skåne län,Vi syns i Åhus,huvudredaktion,redaktion,Gratistidning,
99,2016-03-01,2018-04-01,Malmö kommun,Skåne län,24 Malmö,huvudredaktion,redaktion,Sajt,24 Journalistik
100,2018-04-02,2019-07-03,Malmö kommun,Skåne län,24 Malmö,huvudredaktion,riktad titel,Sajt,24 Journalistik
101,2019-09-02,9,Malmö kommun,Skåne län,Aftonbladet,lokalredaktion,redaktion,Dagspress,Schibsted
102,2009-02-20,2017-12-31,Malmö kommun,Skåne län,ETC Malmö,huvudredaktion,redaktion,Dagspress,ETC
103,2018-01-01,2017-12-31,Malmö kommun,Skåne län,ETC Malmö,huvudredaktion,riktad titel,Dagspress,ETC
104,0,2019-12-25,Malmö kommun,Skåne län,Hallå Malmö,huvudredaktion,redaktion,Gratistidning,Bonnier
105,1948,9,Malmö kommun,Skåne län,Kvällsposten,huvudredaktion,redaktion,Dagspress,Bonnier
106,0,9,Malmö kommun,Skåne län,Limhamns-Tidningen,huvudredaktion,redaktion,Gratistidning,
107,2015-03-18,2019-10-17,Malmö kommun,Skåne län,Lokaltidningen Malmö och Limhamn-Bunkeflo,lokalredaktion,riktad titel,Gratistidning,Lokaltidningen
108,2019-10-18,9,Malmö kommun,Skåne län,Lokaltidningen Malmö och Limhamn-Bunkeflo,lokalredaktion,riktad titel,Gratistidning,Bonnier
109,2013-07-01,2015-03-17,Malmö kommun,Skåne län,Lokaltidningen Malmö och Limhamn-Bunkeflo,huvudredaktion,redaktion,Gratistidning,Lokaltidningen
110,2019-10-18,2015-03-17,Malmö kommun,Skåne län,Lokaltidningen Malmö och Limhamn-Bunkeflo,huvudredaktion,redaktion,Gratistidning,Bonnier
111,1962,9,Malmö kommun,Skåne län,Malmötidningen,huvudredaktion,riktad titel,Gratistidning,
112,1999,2019-08-11,Malmö kommun,Skåne län,Metro Skåne,huvudredaktion,redaktion,Gratistidning,Metro
113,2013,9,Malmö kommun,Skåne län,Mycket mer Sydväst,huvudredaktion,redaktion,Gratistidning,Skånska Dagbladet
114,0,9,Malmö kommun,Skåne län,News Øresund,huvudredaktion,redaktion,Sajt,
115,0,9,Malmö kommun,Skåne län,Sveriges Radio P4 Malmöhus,huvudredaktion,redaktion,Etermedier,Sveriges Radio
116,1888,9,Malmö kommun,Skåne län,Skånska Dagbladet,huvudredaktion,redaktion,Dagspress,Skånska Dagbladet
117,2015-04-13,9,Malmö kommun,Skåne län,SVT Nyheter Skåne,huvudredaktion,redaktion,Etermedier,Sveriges Television
118,1970-11-02,2015-04-12,Malmö kommun,Skåne län,Sydnytt,huvudredaktion,redaktion,Etermedier,Sveriges Television
119,1848,9,Malmö kommun,Skåne län,Sydsvenskan,huvudredaktion,redaktion,Dagspress,Bonnier
120,2008-10-01,2017-12-31,Norrköpings kommun,Östergötlands län,24 NT,huvudredaktion,redaktion,Etermedier,NTM
121,2016-04-29,2017-12-31,Norrköpings kommun,Östergötlands län,ETC Norrköping,huvudredaktion,redaktion,Dagspress,ETC
122,2004,2018-06-30,Norrköpings kommun,Östergötlands län,Extra Östergötland,huvudredaktion,redaktion,Gratistidning,NTM
123,1905,9,Norrköpings kommun,Östergötlands län,Folkbladet,huvudredaktion,redaktion,Dagspress,NTM
124,2018-03-01,2018-07-01,Norrköpings kommun,Östergötlands län,Mera Norrköping,huvudredaktion,redaktion,Gratistidning,NTM
125,2012,2018-02-28,Norrköpings kommun,Östergötlands län,Mera Norrköping,huvudredaktion,redaktion,Gratistidning,Swepress
126,2017-04-20,2019-01-18,Norrköpings kommun,Östergötlands län,Norrköping News,huvudredaktion,redaktion,Sajt,Jmini
127,1758-10-14,9,Norrköpings kommun,Östergötlands län,Norrköpings Tidningar,huvudredaktion,redaktion,Dagspress,NTM
128,2018-01-15,9,Norrköpings kommun,Östergötlands län,Norrköpings-Magazinet,huvudredaktion,redaktion,Gratistidning,NTM
129,0,2018-01-14,Norrköpings kommun,Östergötlands län,Norrköpings-Magazinet,huvudredaktion,redaktion,Gratistidning,Swepress
130,0,9,Norrköpings kommun,Östergötlands län,Sveriges Radio P4 Östergötland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
131,2015-04-13,9,Norrköpings kommun,Östergötlands län,SVT Nyheter Öst,huvudredaktion,redaktion,Etermedier,Sveriges Television
132,1980,2015-04-12,Norrköpings kommun,Östergötlands län,Östnytt,huvudredaktion,redaktion,Etermedier,Sveriges Television
133,2018-01-15,2018-05-31,Norrköpings kommun,Östergötlands län,Vimmerby Tidning med Linköpings Tidning och Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
134,2018-06-01,2018-05-31,Norrköpings kommun,Östergötlands län,Vimmerby Tidning med Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
135,0,2018-01-14,Norrköpings kommun,Östergötlands län,"Vimmerby Tidning med Västerviks-Posten, Linköpings Tidning och Kinda-Posten",lokalredaktion,redaktion,Dagspress,Swepress
136,0,9,Norrköpings kommun,Östergötlands län,Wighsnews,huvudredaktion,redaktion,Sajt,
137,2015-04-01,2019-07-03,Nybro kommun,Kalmar län,24 Nybro,huvudredaktion,redaktion,Sajt,24 Journalistik
138,0,9,Nybro kommun,Kalmar län,Barometern-OT,lokalredaktion,redaktion,Dagspress,Gota Media
139,2011-01-01,9,Nybro kommun,Kalmar län,Kalmar Läns Tidning med Nybro Tidning,lokalredaktion,redaktion,Dagspress,Gota Media
140,1827,2010-12-31,Nybro kommun,Kalmar län,Kalmar Läns Tidning med Nybro Tidning,lokalredaktion,redaktion,Dagspress,
141,1981,9,Nybro kommun,Kalmar län,Nybro-extra,huvudredaktion,redaktion,Gratistidning,
142,2010-12-23,2012-12-31,Nybro kommun,Kalmar län,Östra Småland-Nyheterna,lokalredaktion,redaktion,Dagspress,Gota Media
143,0,2010-12-22,Nybro kommun,Kalmar län,Östra Småland-Nyheterna,lokalredaktion,redaktion,Dagspress,Östra Småland
144,2017-06-01,2018-04-01,Trelleborgs kommun,Skåne län,24 Trelleborg,huvudredaktion,redaktion,Sajt,24 Journalistik
145,2018-04-02,2019-07-03,Trelleborgs kommun,Skåne län,24 Trelleborg,huvudredaktion,riktad titel,Sajt,24 Journalistik
146,2019-10-18,9,Trelleborgs kommun,Skåne län,Lokaltidningen Trelleborg,huvudredaktion,riktad titel,Gratistidning,Bonnier
147,2008-02-01,2019-10-17,Trelleborgs kommun,Skåne län,Lokaltidningen Trelleborg,huvudredaktion,riktad titel,Gratistidning,Lokaltidningen
148,1876,2011-09-30,Trelleborgs kommun,Skåne län,Trelleborgs Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier
149,2011-10-01,9,Trelleborgs kommun,Skåne län,Trelleborgs Allehanda,huvudredaktion,redaktion,Dagspress,Gota Media
150,2017-06-01,2018-04-01,Uppsala kommun,Uppsala län,24 Uppsala,huvudredaktion,redaktion,Sajt,24 Journalistik
151,2018-04-02,2019-07-03,Uppsala kommun,Uppsala län,24 Uppsala,huvudredaktion,riktad titel,Sajt,24 Journalistik
152,2020-01-01,9,Uppsala kommun,Uppsala län,Aftonbladet,lokalredaktion,redaktion,Dagspress,Schibsted
153,2016-03-04,2017-12-31,Uppsala kommun,Uppsala län,ETC Uppsala,huvudredaktion,redaktion,Dagspress,ETC
154,0,9,Uppsala kommun,Uppsala län,Sveriges Radio P4 Uppland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
155,0,2015-04-12,Uppsala kommun,Uppsala län,ABC,lokalredaktion,redaktion,Etermedier,Sveriges Television
156,2015-04-13,2015-04-12,Uppsala kommun,Uppsala län,SVT Nyheter Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Television
157,2015-04-13,9,Uppsala kommun,Uppsala län,SVT Nyheter Uppsala,huvudredaktion,redaktion,Etermedier,Sveriges Television
158,1977,2019-10-25,Uppsala kommun,Uppsala län,Upplands Nyheter,huvudredaktion,redaktion,Dagspress,Sveagruppen
159,0,2017-01-01,Uppsala kommun,Uppsala län,Uppsala-tv,huvudredaktion,redaktion,Etermedier,
160,2012-10,9,Uppsala kommun,Uppsala län,Uppsalanyheter.se,huvudredaktion,redaktion,Sajt,
161,2005-01-16,2013-08-31,Uppsala kommun,Uppsala län,Uppsalatidningen,huvudredaktion,redaktion,Gratistidning,Direktpress
162,2013-09-01,9,Uppsala kommun,Uppsala län,Uppsalatidningen,huvudredaktion,redaktion,Gratistidning,NTM
163,1890-12-03,9,Uppsala kommun,Uppsala län,Upsala Nya Tidning,huvudredaktion,redaktion,Dagspress,NTM
164,2017-12-11,2019-07-03,Varbergs kommun,Hallands län,24 Varberg,huvudredaktion,redaktion,Sajt,24 Journalistik
165,1905-10-02,9,Varbergs kommun,Hallands län,Hallands Nyheter,huvudredaktion,redaktion,Dagspress,Stampen
166,0,9,Varbergs kommun,Hallands län,Sveriges Radio P4 Halland,lokalredaktion,redaktion,Etermedier,Sveriges Radio
167,2015-04-13,9,Varbergs kommun,Hallands län,SVT Nyheter Halland,lokalredaktion,redaktion,Etermedier,Sveriges Television
168,0,2015-04-12,Varbergs kommun,Hallands län,Västnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
169,2015-04-13,2015-04-12,Varbergs kommun,Hallands län,SVT Nyheter Väst,lokalredaktion,redaktion,Etermedier,Sveriges Television
170,0,9,Varbergs kommun,Hallands län,Varbergs Posten,huvudredaktion,redaktion,Gratistidning,
171,2018-11-05,2019-07-03,Västerås kommun,Västmanlands län,24 Västerås,huvudredaktion,redaktion,Sajt,24 Journalistik
172,2017-03-01,2017-12-31,Västerås kommun,Västmanlands län,ETC Västerås,huvudredaktion,redaktion,Dagspress,ETC
173,0,9,Västerås kommun,Västmanlands län,Sveriges Radio P4 Västmanland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
174,2015-04-13,2015-04-12,Västerås kommun,Västmanlands län,SVT Nyheter Örebro,lokalredaktion,redaktion,Etermedier,Sveriges Television
175,1986,2015-04-12,Västerås kommun,Västmanlands län,Tvärsnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
176,2015-04-13,2015-04-12,Västerås kommun,Västmanlands län,Tvärsnytt,huvudredaktion,redaktion,Etermedier,Sveriges Television
177,2015-04-13,9,Västerås kommun,Västmanlands län,SVT Nyheter Västmanland,huvudredaktion,redaktion,Etermedier,Sveriges Television
178,2016-01-01,2019-03-31,Västerås kommun,Västmanlands län,Vestmanlands Läns Tidning,huvudredaktion,redaktion,Dagspress,Mittmedia
179,2019-04-01,2020-04-01,Västerås kommun,Västmanlands län,Vestmanlands Läns Tidning,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
180,2020-04-02,9,Västerås kommun,Västmanlands län,Vestmanlands Läns Tidning,huvudredaktion,redaktion,Dagspress,Bonnier
181,1831,2015-12-31,Västerås kommun,Västmanlands län,Vestmanlands Läns Tidning,huvudredaktion,redaktion,Dagspress,Promedia
182,1992,9,Västerås kommun,Västmanlands län,Västerås Tidning,huvudredaktion,redaktion,Gratistidning,Direktpress
183,1917,2019-10-18,Västerås kommun,Västmanlands län,Västmanlands Nyheter,huvudredaktion,redaktion,Dagspress,Sveagruppen
184,2017-06-01,2018-04-01,Ystads kommun,Skåne län,24 Ystad,huvudredaktion,redaktion,Sajt,24 Journalistik
185,2018-04-02,2019-07-03,Ystads kommun,Skåne län,24 Ystad,huvudredaktion,riktad titel,Sajt,24 Journalistik
186,2019-10-18,9,Ystads kommun,Skåne län,Lokaltidningen Ystad,huvudredaktion,redaktion,Gratistidning,Bonnier
187,2008-02-01,2019-10-17,Ystads kommun,Skåne län,Lokaltidningen Ystad,huvudredaktion,redaktion,Gratistidning,Lokaltidningen
188,1873-07-02,2011-09-30,Ystads kommun,Skåne län,Ystads Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier
189,2011-10-01,9,Ystads kommun,Skåne län,Ystads Allehanda,huvudredaktion,redaktion,Dagspress,Gota Media
190,2009,2020-06-30,Åre kommun,Jämtlands län,321:an,huvudredaktion,redaktion,Sajt,
191,2013-11-26,2015-12-31,Åre kommun,Jämtlands län,Kallendarium,huvudredaktion,redaktion,Gratistidning,
192,1996,2019-03-31,Åre kommun,Jämtlands län,Åre idag,huvudredaktion,redaktion,Gratistidning,Mittmedia
193,2019-04-01,2019-09-24,Åre kommun,Jämtlands län,Åre idag,huvudredaktion,redaktion,Gratistidning,Bonnier|Mittmedia
194,0,2019-03-31,Åre kommun,Jämtlands län,Östersunds-Posten,lokalredaktion,redaktion,Dagspress,Mittmedia
195,2019-04-01,2020-04-01,Åre kommun,Jämtlands län,Östersunds-Posten,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
196,2020-04-02,9,Åre kommun,Jämtlands län,Östersunds-Posten,lokalredaktion,redaktion,Dagspress,Bonnier
197,1830-12-06,9,Stockholms kommun,Stockholms län,Aftonbladet,huvudredaktion,redaktion,Dagspress,Schibsted
198,2009,2017-07-19,Stockholms kommun,Stockholms län,Bagisbloggen.se,huvudredaktion,redaktion,Sajt,
199,2014-09-02,9,Stockholms kommun,Stockholms län,Bättre Stadsdel,huvudredaktion,redaktion,Sajt,
200,2005-01-01,9,Stockholms kommun,Stockholms län,Dagens ETC,huvudredaktion,redaktion,Dagspress,ETC
201,1864,9,Stockholms kommun,Stockholms län,Dagens Nyheter,huvudredaktion,redaktion,Dagspress,Bonnier
202,2015-07-31,2016-08-18,Stockholms kommun,Stockholms län,Djurgårdsliv,huvudredaktion,redaktion,Sajt,
203,2005,2017-12-31,Stockholms kommun,Stockholms län,ETC Stockholm,huvudredaktion,redaktion,Dagspress,ETC
204,1944-11-16,9,Stockholms kommun,Stockholms län,Expressen,huvudredaktion,redaktion,Dagspress,Bonnier
205,1995-02-13,2019-08-09,Stockholms kommun,Stockholms län,Metro Stockholm,huvudredaktion,redaktion,Gratistidning,Metro
206,2014-06-25,2020-06-17,Stockholms kommun,Stockholms län,Mitt i-tidningarna,huvudredaktion,redaktion,Gratistidning,Mitt i
207,2008-12-01,2014-06-24,Stockholms kommun,Stockholms län,Mitt i-tidningarna,huvudredaktion,redaktion,Gratistidning,Stampen
208,2020-06-18,2020-10-01,Stockholms kommun,Stockholms län,Mitt i-tidningarna,huvudredaktion,redaktion,Gratistidning,Direktpress
209,2011,2015-01-16,Stockholms kommun,Stockholms län,Norra sidan,huvudredaktion,redaktion,Gratistidning,Direktpress
210,2017-11-01,9,Stockholms kommun,Stockholms län,Nyhetsbyrån Järva,huvudredaktion,redaktion,Sajt,
211,0,9,Stockholms kommun,Stockholms län,Sveriges Radio P4 Stockholm,huvudredaktion,redaktion,Etermedier,Sveriges Radio
212,2015-08-01,2020-03-10,Stockholms kommun,Stockholms län,Sveriges Radio P4 Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Radio
